date,socmed,mean_cases,mean_deaths,mean_vaxxed,mean_dose1,mean_cases_adj,mean_deaths_adj,mean_compvax_adj,mean_dose1_adj
2020-02-28,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-02-29,Both Facebook and Twitter,2.5714285714285716,0.07142857142857142,0,0,3.882928292643905e-6,3.140663075632506e-8,0,0
2020-02-29,Facebook but no Twitter,3.8,0,0,0,7.611981612340562e-6,0,0,0
2020-02-29,Twitter but no Facebook,7,0,0,0,3.007247149337507e-6,0,0,0
2020-02-29,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-03-01,Both Facebook and Twitter,2.8823529411764706,0.17647058823529413,0,0,3.6889911062618017e-6,7.759285245680309e-8,0,0
2020-03-01,Facebook but no Twitter,4.2,0,0,0,8.390866455055623e-6,0,0,0
2020-03-01,Twitter but no Facebook,7,0,0,0,3.007247149337507e-6,0,0,0
2020-03-01,No Facebook or Twitter,1,0,0,0,1.2475330034856073e-6,0,0,0
2020-03-02,Both Facebook and Twitter,3,0.3,0,0,4.352614309487547e-6,1.3190784917656526e-7,0,0
2020-03-02,Facebook but no Twitter,3.8333333333333335,0,0,0,7.6067131381303876e-6,0,0,0
2020-03-02,Twitter but no Facebook,7.5,0,0,0,3.1051273768268167e-6,0,0,0
2020-03-02,No Facebook or Twitter,1,0,0,0,4.561203176764435e-6,0,0,0
2020-03-03,Both Facebook and Twitter,3.5714285714285716,0.47619047619047616,0,0,4.484081895051306e-6,2.093775383755004e-7,0,0
2020-03-03,Facebook but no Twitter,3.857142857142857,0,0,0,7.344807892572048e-6,0,0,0
2020-03-03,Twitter but no Facebook,7.5,0,0,0,3.1051273768268167e-6,0,0,0
2020-03-03,No Facebook or Twitter,1.3333333333333333,0,0,0,8.236687329914508e-6,0,0,0
2020-03-04,Both Facebook and Twitter,4.608695652173913,0.4782608695652174,0,0,4.944782015962986e-6,2.1028787549887213e-7,0,0
2020-03-04,Facebook but no Twitter,4.285714285714286,0.14285714285714285,0,0,7.860914637897971e-6,3.5452821158243664e-7,0,0
2020-03-04,Twitter but no Facebook,7.5,0,0,0,3.1051273768268167e-6,0,0,0
2020-03-04,No Facebook or Twitter,1.2,0,0,0,7.735158503141223e-6,0,0,0
2020-03-05,Both Facebook and Twitter,5.535714285714286,0.39285714285714285,0,0,5.232236122429389e-6,1.7273646915978782e-7,0,0
2020-03-05,Facebook but no Twitter,4.555555555555555,0.1111111111111111,0,0,7.853388545647697e-6,2.757441645641174e-7,0,0
2020-03-05,Twitter but no Facebook,5.666666666666667,0,0,0,3.897710696975056e-6,0,0,0
2020-03-05,No Facebook or Twitter,1.2857142857142858,0,0,0,5.829107069729403e-6,0,0,0
2020-03-06,Both Facebook and Twitter,4.840909090909091,0.29545454545454547,0,0,5.377048522928184e-6,1.4865702214065007e-7,0,0
2020-03-06,Twitter but no Facebook,4.75,0.25,0,0,3.4921595794451584e-6,1.3217792205732291e-6,0,0
2020-03-06,Facebook but no Twitter,3.7857142857142856,0.07142857142857142,0,0,1.1804331829595701e-5,1.7726410579121832e-7,0,0
2020-03-06,No Facebook or Twitter,1.8,0,0,0,7.235136784878007e-6,0,0,0
2020-03-07,Both Facebook and Twitter,5.462962962962963,0.3148148148148148,0,0,6.093421087837971e-6,1.5369778326931123e-7,0,0
2020-03-07,Twitter but no Facebook,4.4,0.2,0,0,3.887768410021822e-6,1.0574233764585833e-6,0,0
2020-03-07,Facebook but no Twitter,3.3333333333333335,0.047619047619047616,0,0,1.225238318030563e-5,1.1817607052747889e-7,0,0
2020-03-07,No Facebook or Twitter,2,0,0,0,7.551071517031533e-6,0,0,0
2020-03-08,Both Facebook and Twitter,5.545454545454546,0.2878787878787879,0,0,7.257398823546443e-6,1.3907675693515014e-7,0,0
2020-03-08,Twitter but no Facebook,3.857142857142857,0.14285714285714285,0,0,4.706140577342011e-6,7.553024117561309e-7,0,0
2020-03-08,Facebook but no Twitter,4.043478260869565,0.043478260869565216,0,0,1.4447815479645451e-5,1.0789989048161116e-7,0,0
2020-03-08,No Facebook or Twitter,2.933333333333333,0.06666666666666667,0,0,8.375434291913685e-6,8.593944706559758e-7,0,0
2020-03-09,Both Facebook and Twitter,6.756756756756757,0.3108108108108108,0,0,8.749103150466176e-6,1.489526949637629e-7,0,0
