fips,STNAME,population
19075,Iowa,12217
19077,Iowa,10737
19079,Iowa,14716
19081,Iowa,10507
19083,Iowa,16575
19085,Iowa,13928
19087,Iowa,19697
19089,Iowa,9176
19091,Iowa,9473
19093,Iowa,6833
19095,Iowa,16138
19097,Iowa,19205
19099,Iowa,37148
19101,Iowa,18347
19103,Iowa,153740
19105,Iowa,20617
19107,Iowa,10085
19109,Iowa,14680
19111,Iowa,33480
19113,Iowa,227854
19115,Iowa,11011
19117,Iowa,8518
19119,Iowa,11756
19121,Iowa,16521
19123,Iowa,22370
19125,Iowa,33168
19127,Iowa,39495
19129,Iowa,14766
19131,Iowa,10647
19133,Iowa,8598
19135,Iowa,7770
19137,Iowa,9935
19139,Iowa,42394
19141,Iowa,13679
19143,Iowa,5987
19145,Iowa,15073
19147,Iowa,8845
19149,Iowa,25219
19151,Iowa,6607
19153,Iowa,494281
19155,Iowa,93328
19157,Iowa,18381
19159,Iowa,4801
19161,Iowa,9603
19163,Iowa,173216
19165,Iowa,11430
19167,Iowa,35043
19169,Iowa,98237
19171,Iowa,16801
19173,Iowa,6092
19175,Iowa,12157
19177,Iowa,7069
19179,Iowa,34985
19181,Iowa,52265
19183,Iowa,21992
19185,Iowa,6415
19187,Iowa,35934
19189,Iowa,10277
19191,Iowa,19862
19193,Iowa,103138
19195,Iowa,7359
19197,Iowa,12416
20001,Kansas,12399
20003,Kansas,7949
20005,Kansas,16015
20007,Kansas,4358
20009,Kansas,25658
20011,Kansas,14435
20013,Kansas,9482
20015,Kansas,66992
20017,Kansas,2586
20019,Kansas,3230
20021,Kansas,19681
20023,Kansas,2600
20025,Kansas,1963
20027,Kansas,8025
20029,Kansas,8642
20031,Kansas,8158
20033,Kansas,1690
20035,Kansas,34628
20037,Kansas,38730
20039,Kansas,2776
20041,Kansas,18266
20043,Kansas,7496
20045,Kansas,122530
20047,Kansas,2750
20049,Kansas,2507
20051,Kansas,28671
20053,Kansas,6034
20055,Kansas,35917
20057,Kansas,33094
20059,Kansas,25703
20061,Kansas,32218
20063,Kansas,2621
20065,Kansas,2389
20067,Kansas,7077
20069,Kansas,5954
20071,Kansas,1196
20073,Kansas,5868
20075,Kansas,2425
20077,Kansas,5336
20079,Kansas,34291
20081,Kansas,3923
20083,Kansas,1779
20085,Kansas,13171
20087,Kansas,19032
20089,Kansas,2833
20091,Kansas,607220
20093,Kansas,3745
20095,Kansas,6974
20097,Kansas,2456
20099,Kansas,19586
20101,Kansas,1518
20103,Kansas,82246
20105,Kansas,2986
20107,Kansas,9654
20109,Kansas,2732
20111,Kansas,33045
20113,Kansas,28448
20115,Kansas,11652
20117,Kansas,9652
20119,Kansas,4029
20121,Kansas,34334
